id;time_start;time_end;act;prev_act;next_act;contract_start;contract_end;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11
25;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2099-12-31;cat_2;cat_09;cat_237;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1451569
25;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2099-12-31;cat_2;cat_09;cat_264;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1500588
26;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2022-03-13;cat_2;cat_04;cat_186;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
26;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2022-03-13;cat_2;cat_04;cat_186;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
27;2019-02-28;2021-12-31;func_177;none;none;2019-02-15;2099-12-31;cat_2;cat_03;cat_163;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1754935
28;2019-09-30;2020-12-31;func_255;none;func_229;2019-09-16;2099-12-31;cat_4;cat_04;cat_241;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908
28;2021-01-31;2021-02-28;func_229;func_255;func_228;2019-09-16;2099-12-31;cat_4;cat_04;cat_241;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1616523
28;2021-03-31;2021-12-31;func_228;func_229;none;2019-09-16;2099-12-31;cat_4;cat_04;cat_240;cat_2;cat_01;cat_1;cat_3;0.08;1;0.42;0.1683007
29;2019-09-30;2020-12-31;func_255;none;func_177;2019-09-16;2099-12-31;cat_2;cat_04;cat_198;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1437908
29;2021-01-31;2021-12-31;func_177;func_255;none;2019-09-16;2099-12-31;cat_2;cat_04;cat_198;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1699346
30;2021-10-31;2021-12-31;func_216;none;none;2021-10-01;2099-12-31;cat_2;cat_03;cat_359;cat_2;cat_01;cat_1;cat_4;0;1;0.33;0.1568627
31;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2099-12-31;cat_2;cat_27;cat_175;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
31;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2099-12-31;cat_2;cat_27;cat_175;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
32;2019-10-31;2021-12-31;func_177;none;none;2019-10-16;2022-01-09;cat_2;cat_02;cat_127;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1546523
33;2021-03-31;2021-12-31;func_216;none;none;2021-03-01;2099-12-31;cat_2;cat_07;cat_053;cat_2;cat_01;cat_4;cat_4;0;1;0.33;0.1601307
34;2020-01-31;2020-08-31;func_255;none;func_177;2020-01-01;2099-12-31;cat_2;cat_26;cat_342;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1449412
34;2020-09-30;2021-12-31;func_177;func_255;none;2020-01-01;2099-12-31;cat_2;cat_26;cat_342;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1652085
35;2018-09-30;2020-08-31;func_255;none;func_105;2018-09-17;2099-12-31;cat_4;cat_04;cat_105;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412
35;2020-09-30;2021-11-30;func_105;func_255;leave;2018-09-17;2099-12-31;cat_4;cat_04;cat_105;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1633987
35;2021-11-30;2021-11-30;leave;func_105;none;2018-09-17;2099-12-31;cat_4;cat_04;cat_105;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1633987
36;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2022-01-31;cat_2;cat_02;cat_104;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
36;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2022-01-31;cat_2;cat_02;cat_104;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
37;2021-12-31;2021-12-31;func_216;none;leave;2021-12-01;2099-12-31;cat_2;cat_15;cat_013;cat_1;cat_01;cat_7;cat_3;0;1;0.33;0.1535948
37;2021-12-31;2021-12-31;leave;func_216;none;2021-12-01;2099-12-31;cat_2;cat_15;cat_013;cat_1;cat_01;cat_7;cat_3;0;1;0.33;0.1535948
38;2019-09-30;2020-12-31;func_255;none;func_177;2019-09-16;2099-12-31;cat_2;cat_11;cat_091;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908
38;2021-01-31;2021-12-31;func_177;func_255;none;2019-09-16;2099-12-31;cat_2;cat_11;cat_091;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1616523
39;2020-09-30;2021-04-30;func_255;none;func_216;2020-09-21;2099-12-31;cat_2;cat_02;cat_423;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1500588
39;2021-05-31;2021-12-31;func_216;func_255;none;2020-09-21;2099-12-31;cat_2;cat_02;cat_157;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1500588
40;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2099-12-31;cat_2;cat_09;cat_246;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
40;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2099-12-31;cat_2;cat_09;cat_228;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
41;2021-10-31;2021-12-31;func_105;none;none;2021-10-01;2099-12-31;cat_4;cat_04;cat_224;cat_2;cat_01;cat_7;cat_3;0;1;0.33;0.1633987
42;2021-10-31;2021-12-31;func_231;none;none;2021-10-18;2099-12-31;cat_7;cat_04;cat_163;cat_1;cat_01;cat_1;cat_3;0;1;0.58;0.1862745
43;2021-10-31;2021-12-31;func_105;none;none;2021-10-01;2099-12-31;cat_4;cat_04;cat_390;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1503268
44;2020-01-31;2021-08-31;func_255;none;func_216;2020-01-01;2099-12-31;cat_2;cat_16;cat_315;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1681882
44;2021-09-30;2021-12-31;func_216;func_255;none;2020-01-01;2099-12-31;cat_2;cat_16;cat_315;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1681882
45;2017-07-31;2019-02-28;func_197;none;func_112;2017-07-01;2099-12-31;cat_4;cat_05;cat_212;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1531216
45;2019-03-31;2020-02-29;func_112;func_197;func_041;2017-07-01;2099-12-31;cat_4;cat_05;cat_212;cat_2;cat_01;cat_4;cat_3;0.12;1;0.5;0.3294118
45;2020-03-31;2021-12-31;func_041;func_112;none;2017-07-01;2099-12-31;cat_4;cat_05;cat_212;cat_2;cat_01;cat_4;cat_4;0.16;1;0.58;0.1960784
46;2020-11-30;2021-12-31;func_177;none;none;2020-11-16;2099-12-31;cat_2;cat_16;cat_309;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1682503
47;2020-01-31;2021-10-31;func_216;none;leave;2020-01-01;2021-10-03;cat_2;cat_19;cat_362;cat_2;cat_01;cat_4;cat_3;0.04;0.9;0.33;0.173202
47;2021-10-31;2021-10-31;leave;func_216;none;2020-01-01;2021-10-03;cat_2;cat_19;cat_362;cat_2;cat_01;cat_4;cat_3;0.04;0.9;0.33;0.173202
48;2020-01-31;2021-02-28;func_216;none;func_007;2020-01-01;2099-12-31;cat_2;cat_26;cat_337;cat_2;cat_01;cat_4;cat_2;0.04;1;0.33;0.167019
48;2021-03-31;2021-12-31;func_007;func_216;none;2020-01-01;2099-12-31;cat_2;cat_26;cat_337;cat_2;cat_01;cat_4;cat_2;0.04;0.8;0.42;0.1764706
